participant_id,age,gender,education,news_source,daily_news_minutes,political_interest,income_bracket,trust_score,credibility_rating
P076,64,Female,High School,Instagram,20,4,Under $25k,4.2,3
P077,22,Female,Bachelor's,Twitter,176,1,$25k-$50k,4.8,5
P078,33,Female,High School,Newspapers,172,6,Over $100k,4.7,6.4
P079,71,Male,Some College,Newspapers,113,3,Under $25k,3.4,2.7
P080,60,Female,Some College,Podcasts,31,5,$25k-$50k,4.2,5.3
P081,58,Female,Some College,YouTube,125,4,Over $100k,3.7,2.8
P082,71,Male,Some College,Newspapers,148,4,$75k-$100k,3.8,5.4
P083,41,Male,Bachelor's,Newspapers,177,4,Under $25k,4.7,5.5
P084,40,Female,Some College,Instagram,117,5,Under $25k,4.8,6.9
P085,57,Male,Bachelor's,Instagram,74,5,$50k-$75k,3.3,2.8
P086,32,Male,Some College,Television,68,4,Over $100k,3.7,3.9
P087,69,Female,Some College,Twitter,133,5,$25k-$50k,5,5.9
P088,29,Male,Master's,Online News Sites,43,6,Under $25k,4.1,4.4
P089,55,Female,High School,Podcasts,131,5,$50k-$75k,3.9,3.9
P090,38,Female,Master's,Instagram,87,3,$50k-$75k,2.3,4.1
P091,20,Non-binary,Bachelor's,Podcasts,20,6,$50k-$75k,3.3,4.2
P092,61,Male,PhD,Podcasts,18,7,Over $100k,2.5,3.6
P093,25,Female,Bachelor's,Television,153,7,$75k-$100k,3.5,3
P094,25,Male,Some College,Instagram,29,6,$25k-$50k,2.4,4
P095,40,Male,High School,Online News Sites,156,3,Under $25k,1,2.2
P096,25,Female,Bachelor's,Television,45,4,Under $25k,6,7
P097,19,Male,High School,Twitter,59,4,$25k-$50k,1,2.4
P098,51,Male,Master's,Online News Sites,55,4,Under $25k,6.7,7
P099,43,Female,Bachelor's,Facebook,32,2,$75k-$100k,3.3,3.6
P100,30,Prefer not to say,Bachelor's,Instagram,109,6,Under $25k,1,1.6
P101,59,Female,Master's,YouTube,82,5,$25k-$50k,3.5,6.1
P102,33,Female,High School,Newspapers,128,5,$50k-$75k,3.2,5.6
P103,58,Female,Master's,Television,95,5,Over $100k,4.7,4.2
P104,56,Non-binary,Master's,Podcasts,114,6,$25k-$50k,5.1,7
P105,66,Male,Bachelor's,Twitter,176,6,$25k-$50k,4.2,4.6
P106,64,Female,Bachelor's,Television,56,2,$75k-$100k,3.6,3.6
P107,62,Female,Master's,Twitter,82,7,$25k-$50k,3.2,3.4
P108,21,Male,Some College,Facebook,28,7,$75k-$100k,3,3.9
P109,31,Female,High School,Instagram,26,3,$75k-$100k,1,2.3
P110,63,Male,Some College,YouTube,44,3,$75k-$100k,4.2,4.4
P111,29,Female,Bachelor's,Television,176,5,$25k-$50k,3.4,5
P112,37,Female,High School,Podcasts,68,5,$25k-$50k,3.3,4.8
P113,49,Female,Bachelor's,YouTube,66,3,Over $100k,2.3,1
P114,40,Male,Bachelor's,Podcasts,18,1,$75k-$100k,4,3.8
P115,58,Female,PhD,Instagram,10,4,$25k-$50k,5.5,5.6
P116,56,Male,Master's,Newspapers,53,4,$25k-$50k,2.3,1.6
P117,48,Female,High School,Online News Sites,118,6,Under $25k,4.7,4.4
P118,24,Male,Bachelor's,Television,166,3,$50k-$75k,1,1
P119,69,Female,Master's,Instagram,68,5,$75k-$100k,3.8,6.7
P120,54,Non-binary,Bachelor's,Facebook,168,5,$25k-$50k,4.4,3.7
P121,53,Non-binary,Some College,Instagram,22,4,$50k-$75k,5.6,5.3
P122,37,Male,PhD,Television,16,4,$25k-$50k,3.2,2.9
P123,31,Female,Bachelor's,Facebook,11,4,$75k-$100k,2.3,2.2
P124,67,Female,PhD,Podcasts,133,7,$75k-$100k,4.3,3.9
P125,25,Female,Master's,Online News Sites,38,4,$75k-$100k,1.4,3.1
P126,70,Female,Bachelor's,YouTube,106,4,$25k-$50k,5.4,7
P127,58,Male,Some College,Television,175,4,Under $25k,5.1,5.2
P128,40,Female,Master's,Podcasts,69,7,$75k-$100k,1,1.6
P129,69,Male,Some College,Podcasts,100,5,Under $25k,3.7,5.3
P130,70,Female,Master's,Facebook,29,1,$75k-$100k,4.7,4.1
P131,53,Male,Master's,Podcasts,27,2,$50k-$75k,5.6,6.1
P132,71,Male,High School,Online News Sites,80,4,Under $25k,3.4,3.6
P133,27,Female,High School,Newspapers,31,3,$50k-$75k,1.4,1.7
P134,37,Female,Some College,YouTube,92,3,$75k-$100k,3.6,4.2
P135,53,Male,Bachelor's,Newspapers,106,6,$75k-$100k,3.3,2.4
P136,49,Male,High School,Online News Sites,102,4,$25k-$50k,4.3,5.9
P137,36,Male,Bachelor's,Podcasts,102,5,Under $25k,3,4.4
P138,38,Male,PhD,Facebook,139,3,Over $100k,2.7,3.7
P139,59,Male,Bachelor's,Television,75,5,Under $25k,6.7,7
P140,74,Male,PhD,Television,136,5,$75k-$100k,5.4,6.4
P141,43,Female,Master's,Podcasts,75,6,$50k-$75k,2.9,3.5
P142,71,Female,Bachelor's,Twitter,17,4,$25k-$50k,3.9,5.2
P143,68,Male,Bachelor's,YouTube,143,7,Over $100k,4.2,3.6
P144,73,Female,Some College,Podcasts,107,6,$25k-$50k,5.3,5.1
P145,67,Female,High School,YouTube,78,2,Over $100k,5.6,5.7
P146,40,Non-binary,Some College,Television,72,4,$75k-$100k,2,2.5
P147,37,Female,Master's,Television,25,5,$50k-$75k,6.2,7
P148,31,Female,Bachelor's,Podcasts,23,4,$25k-$50k,2.2,2.9
P149,38,Female,Bachelor's,Newspapers,22,5,Over $100k,3.2,2.3
P150,50,Female,High School,Instagram,169,2,$25k-$50k,5.1,4.5
P151,51,Female,Some College,Twitter,62,2,Under $25k,4.2,4.1
P152,63,Male,Master's,Twitter,70,4,$50k-$75k,3.7,4.2
P153,35,Male,Some College,Online News Sites,31,5,$75k-$100k,2.8,3.2
P154,27,Female,Bachelor's,Newspapers,6,4,$50k-$75k,3.6,4.5
P155,66,Female,Bachelor's,Newspapers,69,2,$25k-$50k,4,4.5
P156,32,Female,Bachelor's,Online News Sites,47,2,Over $100k,2.2,4
P157,56,Female,Master's,Online News Sites,176,5,Under $25k,3.6,3.8
P158,35,Male,Master's,Twitter,175,4,$50k-$75k,1,1.4
P159,18,Female,PhD,Instagram,166,5,$75k-$100k,2.1,2.6
P160,47,Male,PhD,YouTube,28,5,$25k-$50k,3.6,4.7
P161,56,Female,Some College,Television,106,5,$50k-$75k,4.1,5
P162,69,Male,Master's,YouTube,41,6,$25k-$50k,4.6,5
P163,45,Female,Bachelor's,Online News Sites,96,3,Under $25k,6.1,7
P164,66,Male,Bachelor's,Podcasts,130,2,$25k-$50k,5.8,6.4
P165,63,Female,Some College,Twitter,39,6,Over $100k,5.4,5.8
P166,73,Female,Bachelor's,YouTube,9,4,$25k-$50k,4.2,4.2
P167,60,Female,Master's,Podcasts,155,4,$75k-$100k,5.2,4.7
P168,65,Male,PhD,Twitter,173,1,Over $100k,4.6,3.3
P169,23,Male,Master's,Instagram,143,6,Under $25k,2.9,5.5
P170,43,Male,Master's,Instagram,179,4,Under $25k,2.6,3
P171,28,Female,Bachelor's,Online News Sites,180,5,Under $25k,2.2,1
P172,56,Female,High School,Instagram,56,7,Over $100k,4.1,4.6
P173,75,Female,Bachelor's,Online News Sites,180,4,Over $100k,7,7
P174,69,Female,Some College,Online News Sites,115,4,Under $25k,6.3,5.4
P175,42,Male,Master's,Twitter,22,4,Under $25k,2.1,3.3
P176,34,Male,Bachelor's,YouTube,29,5,$25k-$50k,3.2,3.1
P177,23,Female,Master's,Television,40,4,Under $25k,3.6,6.4
P178,66,Female,Bachelor's,Facebook,112,7,$75k-$100k,4.5,6.6
P179,73,Male,Some College,Television,16,1,Under $25k,3.5,4.8
P180,74,Prefer not to say,Bachelor's,Podcasts,166,5,$25k-$50k,5.8,7
P181,75,Female,Bachelor's,Podcasts,153,7,$75k-$100k,5.8,5.5
P182,56,Female,PhD,Twitter,167,1,$50k-$75k,3.5,4.7
P183,47,Male,High School,Twitter,178,6,$25k-$50k,5.5,7
P184,62,Male,Master's,Online News Sites,129,4,Over $100k,4.4,5.9
P185,72,Male,Some College,Facebook,138,3,$25k-$50k,3.8,4.3
P186,43,Non-binary,Bachelor's,Instagram,173,4,$75k-$100k,4.9,5.7
P187,28,Female,Bachelor's,Television,98,4,Under $25k,2.7,4.4
P188,62,Female,PhD,Facebook,65,5,$50k-$75k,4.2,4
P189,21,Male,Some College,Newspapers,175,6,Over $100k,1,2.8
P190,62,Male,Some College,Instagram,116,3,Over $100k,5.1,5.4
P191,69,Female,Some College,Newspapers,113,6,$75k-$100k,3.7,3.5
P192,71,Female,Some College,Twitter,91,3,Over $100k,4.5,5.9
P193,29,Male,PhD,Instagram,31,4,Under $25k,1.9,4.4
P194,45,Male,Master's,YouTube,11,4,Over $100k,1,2.5
P195,48,Male,Bachelor's,Twitter,93,4,$50k-$75k,4,4.6
P196,70,Female,Bachelor's,YouTube,76,3,$25k-$50k,5.9,5.9
P197,67,Male,High School,Online News Sites,72,3,$25k-$50k,4.7,5.6
P198,21,Female,Master's,YouTube,70,4,$75k-$100k,1,1.8
P199,61,Male,Bachelor's,Television,106,6,$25k-$50k,4.8,4.9
P200,71,Male,Some College,Facebook,170,5,$50k-$75k,4,5.2
P201,22,Female,Some College,Online News Sites,149,5,$75k-$100k,3.9,4
P202,30,Male,PhD,Facebook,53,2,$75k-$100k,4.3,5
P203,45,Female,Bachelor's,Instagram,105,2,$25k-$50k,2.9,2.9
P204,58,Male,Bachelor's,Facebook,80,2,$75k-$100k,5.5,6
P205,20,Female,Bachelor's,YouTube,179,4,Over $100k,3.2,3.4
P206,52,Female,Some College,Podcasts,148,5,$75k-$100k,4,5.3
P207,73,Female,Master's,YouTube,29,6,$75k-$100k,5.1,5.3
P208,25,Female,Master's,YouTube,153,5,$25k-$50k,1,1.8
P209,59,Male,Bachelor's,Podcasts,133,7,Over $100k,4.3,4.1
P210,29,Male,Some College,Facebook,68,5,$25k-$50k,2.6,2.9
P211,29,Non-binary,Master's,Television,173,3,$25k-$50k,3.6,4
P212,41,Non-binary,Bachelor's,Newspapers,70,5,$50k-$75k,3.2,3.6
P213,41,Male,Bachelor's,Newspapers,38,5,Over $100k,3.6,2.6
P214,63,Female,Some College,YouTube,172,4,$50k-$75k,6.4,7
P215,28,Male,Master's,Newspapers,68,5,Over $100k,1.5,2.9
P216,60,Male,PhD,Facebook,180,5,$50k-$75k,4.4,4.1
P217,59,Male,Some College,Television,73,6,Over $100k,5.1,6
P218,47,Female,PhD,Instagram,148,4,$25k-$50k,4.3,4.4
P219,34,Female,Some College,Podcasts,131,4,Over $100k,3,3.3
P220,26,Male,Bachelor's,YouTube,125,6,Over $100k,1.4,1
P221,25,Female,Some College,Television,148,7,Over $100k,1.5,1.8
P222,49,Male,Some College,Newspapers,63,2,$25k-$50k,3.3,3.9
P223,43,Male,PhD,Online News Sites,180,1,$75k-$100k,5.1,6.5
P224,21,Male,High School,Instagram,69,5,Over $100k,2.9,4.6
P225,48,Prefer not to say,High School,Facebook,56,4,$50k-$75k,4.7,6.7
P226,39,Male,Bachelor's,Online News Sites,61,6,$50k-$75k,3.3,4.7
P227,61,Female,Some College,Twitter,151,6,Under $25k,4.1,4.3
P228,45,Male,Master's,Television,28,2,$75k-$100k,1.5,1.7
P229,19,Female,High School,Online News Sites,40,3,$50k-$75k,1,1
P230,57,Female,High School,Instagram,115,5,$75k-$100k,2.4,6.3
P231,48,Female,Master's,Facebook,107,4,Under $25k,5.8,5.4
P232,31,Non-binary,Bachelor's,YouTube,139,5,Over $100k,2.6,2.8
P233,64,Female,Some College,Twitter,129,2,Under $25k,2.8,4
P234,37,Male,Bachelor's,Podcasts,129,6,$25k-$50k,3.6,4.6
P235,57,Male,Some College,Instagram,72,4,$25k-$50k,3.1,3.4
P236,41,Male,Some College,Twitter,47,7,$50k-$75k,3.4,4.7
P237,20,Prefer not to say,Bachelor's,Facebook,71,1,Over $100k,2,2.3
P238,43,Female,Some College,Facebook,73,1,Over $100k,4.1,2.7
P239,73,Male,Some College,YouTube,45,4,$25k-$50k,4.1,3.9
P240,33,Male,Bachelor's,YouTube,97,4,$50k-$75k,2.9,4.7
P241,56,Female,Some College,Television,110,5,$50k-$75k,2,2.5
P242,36,Female,Master's,Podcasts,40,4,$50k-$75k,2.1,3.5
P243,49,Female,Master's,YouTube,157,6,$50k-$75k,6.6,7
P244,56,Male,PhD,Facebook,63,4,$75k-$100k,2.5,4.1
P245,57,Non-binary,High School,Television,133,3,Over $100k,2.7,2.1
P246,55,Male,Bachelor's,Facebook,169,1,Over $100k,3.8,6.5
P247,20,Male,Bachelor's,Television,149,4,$50k-$75k,3.1,3.2
P248,47,Male,High School,Instagram,8,5,Under $25k,2.3,5.8
P249,34,Female,PhD,Television,140,6,Under $25k,2.4,2.2
P250,34,Female,Bachelor's,Twitter,87,3,Over $100k,2.3,1.6
